Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
MONTE ALEGRE DOS CAMPOS,0,3095,81,34,474,10,3210
MONTE BELO DO SUL,0,2657,44,29,861,1,2592
MONTENEGRO,5,58513,90,57,903,3,65935
MORMACO,0,2726,83,94,754,10,2795
MORRINHOS DO SUL,0,3179,77,0,697,9,3123
MORRO REDONDO,0,6210,53,17,697,8,6188
MORRO REUTER,0,5665,79,90,756,1,6131
MOSTARDAS,1,12073,17,91,618,11,12350
MUCUM,0,4776,16,62,882,3,4690
MUITOS CAPOES,0,2969,12,92,652,5,2909
MULITERNO,0,1812,60,26,787,7,1741
NAO-ME-TOQUE,2,15811,24,45,1037,3,18139
NICOLAU VERGUEIRO,0,1720,13,38,962,6,1951
NONOAI,0,11980,93,33,625,9,13930
NOVA ALVORADA,0,3164,97,0,919,6,3210
NOVA ARACA,0,3999,77,85,1134,2,4997
NOVA BASSANO,0,8820,97,46,1009,4,9801
NOVA BOA VISTA,0,1960,51,22,927,2,2062
NOVA BRESCIA,0,3178,44,18,1394,3,3096
NOVA CANDELARIA,0,2745,43,7,1119,2,3096
NOVA ESPERANCA DO SUL,0,4664,73,2,714,5,4951
NOVA HARTZ,1,18317,4,50,588,3,20446
NOVA PADUA,0,2431,82,33,914,2,2374
NOVA PALMA,0,6323,1,82,905,2,5719
NOVA PETROPOLIS,1,18842,43,78,988,2,23590
NOVA PRATA,4,22615,24,80,1023,3,26342
NOVA RAMADA,1,2436,54,62,859,6,2192
NOVA ROMA DO SUL,0,3321,22,47,1114,5,3524
NOVA SANTA RITA,7,22673,90,62,668,4,29556
NOVO BARREIRO,0,3973,26,80,761,9,4332
NOVO CABRAIS,0,3834,53,63,603,7,3635
NOVO HAMBURGO,36,237538,51,33,992,3,237158
NOVO MACHADO,1,3917,43,86,530,6,3272
NOVO TIRADENTES,0,2275,39,76,534,13,2170
NOVO XINGU,0,1755,59,39,844,5,1658
OSORIO,7,40119,69,28,940,4,48407
PAIM FILHO,0,4230,25,0,729,7,3714
PALMARES DO SUL,2,10911,13,72,701,7,13039
PALMEIRA DAS MISSOES,6,33908,95,11,707,8,34338
PALMITINHO,2,6913,33,76,635,8,7964
PANAMBI,3,37795,57,55,853,3,44621
PANTANO GRANDE,0,9865,89,45,518,10,10420
PARAI,0,6787,99,39,1066,2,7325
PARAISO DO SUL,0,7320,9,80,591,6,6690
PARECI NOVO,1,3503,76,14,788,2,4360
PAROBE,4,51269,45,2,620,4,53586
PASSA SETE,2,5147,8,14,425,12,4081
PASSO DO SOBRADO,1,5975,38,25,701,5,6144
PASSO FUNDO,60,183172,93,8,1038,3,212671
PAULO BENTO,0,2190,52,25,749,4,2171
PAVERAMA,0,8018,36,94,625,5,8144
